repo,pr_a,pr_b,agent_a,agent_b,opened_a,closed_a,opened_b,closed_b,cross_agent,conflict,both_files,dup_title,revert,fix_in_flight,merged_a,merged_b,both_merged,bm_shared,mega,near_miss,primary_stratum,cross_agent_candidate,in_prevalence_sample,in_enriched_sample,pi_prevalence,pi_enriched,incl_prob,title_a,body_a,files_a,n_files_a,title_b,body_b,files_b,n_files_b,files_shared,has_diff,frame_id,dataset_version,config_version,anon_id
mochilang/mochi,10249,11205,OpenAI_Codex,OpenAI_Codex,2025-07-19T13:19:16+00:00,2025-07-30T23:20:55+00:00,2025-07-21T09:04:43+00:00,2025-07-21T09:04:52+00:00,False,False,True,True,False,False,False,True,False,False,True,True,dup,False,False,True,,0.21523060421880585,0.21523060421880585,Improve Lua transpiler,"## Summary
- implement index and slice expressions in Lua transpiler
- handle method calls like `string.contains`
- support index assignment
- print lists nicely
- update golden outputs and documentation

## Testing
- `go test ./transpiler/x/lua -run VMValid -tags=slow -count=1`

------
https://chatgpt.com/codex/tasks/task_e_687b963ee21483209ed5571b8c01ddc6","tests/transpiler/x/lua/append_builtin.lua
tests/transpiler/x/lua/append_builtin.out
tests/transpiler/x/lua/avg_builtin.lua
tests/transpiler/x/lua/basic_compare.lua
tests/transpiler/x/lua/binary_precedence.lua
tests/transpiler/x/lua/bool_chain.lua
tests/transpiler/x/lua/break_continue.lua
tests/transpiler/x/lua/cast_string_to_int.error
tests/transpiler/x/lua/count_builtin.lua
tests/transpiler/x/lua/for_list_collection.lua
tests/transpiler/x/lua/for_loop.lua
tests/transpiler/x/lua/fun_call.lua
tests/transpiler/x/lua/fun_three_args.lua
tests/transpiler/x/lua/if_else.lua
tests/transpiler/x/lua/if_then_else.lua
tests/transpiler/x/lua/if_then_else_nested.lua
tests/transpiler/x/lua/len_builtin.lua
tests/transpiler/x/lua/len_string.lua
tests/transpiler/x/lua/let_and_print.lua
tests/transpiler/x/lua/list_assign.error
tests/transpiler/x/lua/list_assign.lua
tests/transpiler/x/lua/list_assign.out
tests/transpiler/x/lua/list_index.error
tests/transpiler/x/lua/list_index.lua
tests/transpiler/x/lua/list_index.out
tests/transpiler/x/lua/list_nested_assign.error
tests/transpiler/x/lua/list_nested_assign.lua
tests/transpiler/x/lua/list_nested_assign.out
tests/transpiler/x/lua/list_set_ops.error
tests/transpiler/x/lua/list_set_ops.lua
tests/transpiler/x/lua/math_ops.lua
tests/transpiler/x/lua/membership.lua
tests/transpiler/x/lua/min_max_builtin.error
tests/transpiler/x/lua/min_max_builtin.lua
tests/transpiler/x/lua/nested_function.lua
tests/transpiler/x/lua/partial_application.error
tests/transpiler/x/lua/partial_application.lua
tests/transpiler/x/lua/print_hello.lua
tests/transpiler/x/lua/pure_fold.lua
tests/transpiler/x/lua/pure_global_fold.lua
tests/transpiler/x/lua/short_circuit.lua
tests/transpiler/x/lua/slice.error
tests/transpiler/x/lua/slice.lua
tests/transpiler/x/lua/slice.out
tests/transpiler/x/lua/str_builtin.lua
tests/transpiler/x/lua/string_compare.lua
tests/transpiler/x/lua/string_concat.lua
tests/transpiler/x/lua/string_contains.error
tests/transpiler/x/lua/string_contains.lua
tests/transpiler/x/lua/string_contains.out
tests/transpiler/x/lua/string_in_operator.lua
tests/transpiler/x/lua/string_index.error
tests/transpiler/x/lua/string_index.lua
tests/transpiler/x/lua/string_index.out
tests/transpiler/x/lua/string_prefix_slice.error
tests/transpiler/x/lua/string_prefix_slice.lua
tests/transpiler/x/lua/string_prefix_slice.out
tests/transpiler/x/lua/substring_builtin.lua
tests/transpiler/x/lua/sum_builtin.lua
tests/transpiler/x/lua/tail_recursion.lua
tests/transpiler/x/lua/two-sum.error
tests/transpiler/x/lua/two-sum.lua
tests/transpiler/x/lua/typed_let.lua
tests/transpiler/x/lua/typed_var.lua
tests/transpiler/x/lua/unary_neg.lua
tests/transpiler/x/lua/var_assignment.lua
tests/transpiler/x/lua/while_loop.lua
transpiler/x/lua/README.md
transpiler/x/lua/TASKS.md
transpiler/x/lua/transpiler.go
transpiler/x/lua/vm_valid_golden_test.go",71,Improve scheme transpiler,"## Summary
- support `join` with `group by` queries in Scheme transpiler
- update golden test checklist
- record build progress

## Testing
- `go build -tags slow ./transpiler/x/scheme`
- `go test -tags slow ./transpiler/x/scheme -run VMValid_Golden/group_by_join -count=1 -v`


------
https://chatgpt.com/codex/tasks/task_e_687dfeaf0b5c8320be8a354e4e0eb70a","tests/transpiler/x/scheme/group_by_join.error
tests/transpiler/x/scheme/group_by_join.out
tests/transpiler/x/scheme/group_by_join.scm
transpiler/x/scheme/README.md
transpiler/x/scheme/TASKS.md
transpiler/x/scheme/transpiler.go",6,,False,2272,v1,v1,P25d24f6290a82261
mochilang/mochi,13039,13658,OpenAI_Codex,OpenAI_Codex,2025-07-25T10:29:54+00:00,2025-07-30T23:20:55+00:00,2025-07-27T06:13:30+00:00,2025-07-27T06:13:42+00:00,False,True,True,True,False,False,False,False,False,False,True,False,dup,False,False,True,,0.21523060421880585,0.21523060421880585,Fix VM main execution and update Rosetta outputs,"## Summary
- ensure rosetta tests use deterministic `now()` by seeding the VM
- speed up the `Append` instruction by preallocating slices
- refresh IR outputs for the `100-prisoners` task
- update benchmark and checklist entries

## Testing
- `MOCHI_ROSETTA_INDEX=4 MOCHI_BENCHMARK=1 go test ./runtime/vm -tags slow -run TestVM_Rosetta_Golden -v`


------
https://chatgpt.com/codex/tasks/task_e_688358317d688320ae15f6e91e6fa043","runtime/vm/ROSETTA.md
runtime/vm/rosetta_test.go
runtime/vm/vm.go
tests/rosetta/ir/100-prisoners.bench
tests/rosetta/ir/100-prisoners.out",5,Update rosetta index and runtime/vm outputs,"## Summary
- regenerate index.txt for rosetta programs
- adjust `disarium-numbers` example to avoid long runtime
- update IR and golden outputs for several rosetta programs
- refresh progress checklist

## Testing
- `go test ./runtime/vm -tags slow -run TestVM_Rosetta_Golden -count=1` *(fails: output mismatch for 100-prisoners)*


------
https://chatgpt.com/codex/tasks/task_e_6885bf1a1e088320907e4c15f64fe71e","rosetta_mochi_index.txt
runtime/vm/ROSETTA.md
tests/rosetta/ir/dice-game-probabilities-2.out
tests/rosetta/ir/disarium-numbers.ir
tests/rosetta/ir/disarium-numbers.out
tests/rosetta/ir/draw-a-clock.out
tests/rosetta/ir/dutch-national-flag-problem.out
tests/rosetta/x/Mochi/disarium-numbers.mochi
tests/rosetta/x/Mochi/index.txt",9,runtime/vm/ROSETTA.md,False,10304,v1,v1,Pb50db2f26ff2da11
OneKeyHQ/app-monorepo,6800,6806,Devin,Devin,2025-03-04T10:28:16+00:00,2025-03-10T06:32:42+00:00,2025-03-05T01:33:19+00:00,2025-03-05T01:35:11+00:00,False,False,True,True,False,False,False,False,False,False,False,True,dup,False,False,True,,0.2157303370786517,0.2157303370786517,chore: remove unused imports,"Remove unused imports in AccountAvatar and CommonAssetContent components

Link to Devin run: https://app.devin.ai/sessions/4a4fab0d29b042b09d144eb7f6400a63

<!-- This is an auto-generated comment: release notes by coderabbit.ai -->
## Summary by CodeRabbit

- **Refactor**
	- Updated the avatar display component to enforce a consistent appearance without shape customization.
	- Simplified the account list loading process, ensuring immediate display without dynamic delays.
<!-- end of auto-generated comment: release notes by coderabbit.ai -->","packages/kit/src/components/AccountAvatar/AccountAvatar.tsx
packages/kit/src/components/NFT/NFTDetails/CommonAsset/CommonAssetContent.tsx
packages/kit/src/routes/Tab/Me/TabMe.tsx
packages/kit/src/views/DAppConnection/components/DAppAccountList/DAppAccountListItem.tsx",4,chore: remove unused imports in jotai utils,"Remove unused imports in packages/kit/src/states/jotai/utils files.\n\nLink to Devin run: https://app.devin.ai/sessions/e4fc40c5f8a34c68a6368b65cd132199

<!-- This is an auto-generated comment: release notes by coderabbit.ai -->

## Summary by CodeRabbit

This release includes internal updates aimed at streamlining our code base and enhancing maintainability. The improvements remove obsolete dependencies and simplify component structures, leading to a more stable and efficient system. While these changes are mostly behind the scenes, they lay essential groundwork for future improvements and ensure overall system reliability. End-users should experience a smoother operation without noticeable changes in features.

- **Refactor**
  - Removed an unused internal dependency for cleaner code management.
  - Simplified internal type definitions to improve clarity and maintainability.

<!-- end of auto-generated comment: release notes by coderabbit.ai -->","packages/kit/src/states/jotai/utils/JotaiContextStoreMirrorTracker.tsx
packages/kit/src/states/jotai/utils/createJotaiContext.tsx",2,,False,5766,v1,v1,P5026b16303ea8322
airbytehq/airbyte,62918,62925,Devin,Devin,2025-07-10T22:10:07+00:00,2025-07-11T01:11:31+00:00,2025-07-10T22:13:21+00:00,2025-07-16T23:20:42+00:00,False,False,True,True,False,False,True,True,True,False,False,True,dup,False,False,True,,0.21483375959079284,0.21483375959079284,chore(source-elasticsearch): Convert to new gradle build flow (do not merge),"_PR description is being written. Please check back in a minute._ 

Devin Session: https://app.devin.ai/sessions/55fa943c7669452fbe4690003b503fac

> [!IMPORTANT]
> **Auto-merge enabled.**
> 
> _This PR is set to merge automatically when all requirements are met._","airbyte-integrations/connectors/source-elasticsearch/build.gradle
airbyte-integrations/connectors/source-elasticsearch/metadata.yaml
docs/integrations/sources/elasticsearch.md",3,chore(source-singlestore): Convert to new gradle build flow (do not merge),"_PR description is being written. Please check back in a minute._ 

Devin Session: https://app.devin.ai/sessions/55fa943c7669452fbe4690003b503fac

> [!IMPORTANT]
> **Auto-merge enabled.**
> 
> _This PR is set to merge automatically when all requirements are met._

> [!NOTE]
> **Auto-merge may have been disabled. Please check the PR status to confirm.**","airbyte-integrations/connectors/destination-clickhouse/metadata.yaml
airbyte-integrations/connectors/destination-clickhouse/src/main/kotlin/io/airbyte/integrations/destination/clickhouse/check/ClickhouseChecker.kt
airbyte-integrations/connectors/destination-clickhouse/src/test/kotlin/io/airbyte/integrations/destination/clickhouse/check/ClickhouseCheckerTest.kt
airbyte-integrations/connectors/source-bigquery/build.gradle
airbyte-integrations/connectors/source-bigquery/metadata.yaml
airbyte-integrations/connectors/source-clickhouse-strict-encrypt/build.gradle
airbyte-integrations/connectors/source-clickhouse-strict-encrypt/metadata.yaml
airbyte-integrations/connectors/source-clickhouse/build.gradle
airbyte-integrations/connectors/source-clickhouse/metadata.yaml
airbyte-integrations/connectors/source-cockroachdb/build.gradle
airbyte-integrations/connectors/source-cockroachdb/metadata.yaml
airbyte-integrations/connectors/source-db2/build.gradle
airbyte-integrations/connectors/source-db2/metadata.yaml
airbyte-integrations/connectors/source-dynamodb/build.gradle
airbyte-integrations/connectors/source-dynamodb/metadata.yaml
airbyte-integrations/connectors/source-e2e-test-cloud/build.gradle
airbyte-integrations/connectors/source-e2e-test-cloud/metadata.yaml
airbyte-integrations/connectors/source-kafka/build.gradle
airbyte-integrations/connectors/source-kafka/metadata.yaml
airbyte-integrations/connectors/source-scaffold-java-jdbc/build.gradle
airbyte-integrations/connectors/source-scaffold-java-jdbc/metadata.yaml
airbyte-integrations/connectors/source-sftp/build.gradle
airbyte-integrations/connectors/source-sftp/metadata.yaml
airbyte-integrations/connectors/source-singlestore/build.gradle
airbyte-integrations/connectors/source-singlestore/metadata.yaml
airbyte-integrations/connectors/source-teradata/build.gradle
airbyte-integrations/connectors/source-teradata/metadata.yaml
airbyte-integrations/connectors/source-tidb/build.gradle
airbyte-integrations/connectors/source-tidb/metadata.yaml
docker-images/Dockerfile.java-connector-base
docs/integrations/destinations/clickhouse-migrations.md
docs/integrations/destinations/clickhouse.md
docs/integrations/sources/bigquery.md
docs/integrations/sources/clickhouse.md
docs/integrations/sources/cockroachdb.md
docs/integrations/sources/db2.md
docs/integrations/sources/dynamodb.md
docs/integrations/sources/e2e-test.md
docs/integrations/sources/kafka.md
docs/integrations/sources/sftp.md
docs/integrations/sources/singlestore.md
docs/integrations/sources/teradata.md
docs/integrations/sources/tidb.md",43,,False,4312,v1,v1,P42dc6a8a79114322
mochilang/mochi,2010,2018,OpenAI_Codex,OpenAI_Codex,2025-06-19T02:43:52+00:00,2025-06-19T02:55:46+00:00,2025-06-19T02:46:05+00:00,2025-06-19T02:58:20+00:00,False,False,True,True,False,False,True,True,True,False,True,False,dup,False,False,True,,0.21506682867557717,0.21506682867557717,Improve Elixir backend type inference,"## Summary
- add `helpers.go` with shared type predicates for the Elixir backend
- implement full expression type inference in `infer.go`
- use new inference by removing older minimal version

## Testing
- `gofmt -w compile/ex/helpers.go compile/ex/infer.go`
- `go vet ./compile/ex`
- `go build ./...`
- `go test ./compile/ex -c -tags slow`

------
https://chatgpt.com/codex/tasks/task_e_685375bfdc0c8320933b689d1ec6452a","compile/ex/compiler.go
compile/ex/helpers.go
compile/ex/infer.go",3,Improve F# backend type inference,"## Summary
- add `infer.go` implementing simplified type inference for the F# backend
- use the new inference helpers in `compiler.go`
- document `infer.go` in the F# backend README

## Testing
- `go vet ./compile/fs`
- `go test ./... | head -n 20`

------
https://chatgpt.com/codex/tasks/task_e_6853776309bc83208fadb7ca8415543b","compile/fs/README.md
compile/fs/compiler.go
compile/fs/infer.go",3,,False,6821,v1,v1,Pcb0bf860b81a15a3
mochilang/mochi,10329,10367,OpenAI_Codex,OpenAI_Codex,2025-07-19T18:15:11+00:00,2025-07-20T06:08:19+00:00,2025-07-19T19:02:13+00:00,2025-07-19T19:02:28+00:00,False,False,True,True,False,False,False,True,False,False,True,True,dup,False,False,True,,0.21523060421880585,0.21523060421880585,Improve F# transpiler,"## Summary
- add support for selector expressions and method calls in the F# transpiler
- generate placeholders for break/continue statements
- update TASKS log with latest progress
- refresh README checklist

## Testing
- `go run /tmp/updatefs.go`


------
https://chatgpt.com/codex/tasks/task_e_687bda9285588320a8459896db4e80d0","transpiler/x/fs/README.md
transpiler/x/fs/TASKS.md
transpiler/x/fs/transpiler.go",3,Improve OCaml transpiler,"## Summary
- refine type inference and inline helpers in the OCaml transpiler
- update OCaml transpiler tests and outputs
- add golden test `bool_chain`
- refresh checklist and task log

## Testing
- `go test ./transpiler/x/ocaml -tags=slow -count=1`

------
https://chatgpt.com/codex/tasks/task_e_687be5b49f508320be6fede5e5d4f2bc","tests/transpiler/x/ocaml/basic_compare.ml
tests/transpiler/x/ocaml/basic_compare.out
tests/transpiler/x/ocaml/binary_precedence.ml
tests/transpiler/x/ocaml/bool_chain.ml
tests/transpiler/x/ocaml/bool_chain.out
tests/transpiler/x/ocaml/for_list_collection.ml
tests/transpiler/x/ocaml/for_loop.ml
tests/transpiler/x/ocaml/if_else.ml
tests/transpiler/x/ocaml/if_then_else.ml
tests/transpiler/x/ocaml/if_then_else_nested.ml
tests/transpiler/x/ocaml/len_string.ml
tests/transpiler/x/ocaml/let_and_print.ml
tests/transpiler/x/ocaml/math_ops.ml
tests/transpiler/x/ocaml/print_hello.ml
tests/transpiler/x/ocaml/str_builtin.ml
tests/transpiler/x/ocaml/string_compare.ml
tests/transpiler/x/ocaml/string_compare.out
tests/transpiler/x/ocaml/string_concat.ml
tests/transpiler/x/ocaml/string_contains.ml
tests/transpiler/x/ocaml/string_contains.out
tests/transpiler/x/ocaml/substring_builtin.ml
tests/transpiler/x/ocaml/sum_builtin.ml
tests/transpiler/x/ocaml/typed_let.ml
tests/transpiler/x/ocaml/typed_var.ml
tests/transpiler/x/ocaml/unary_neg.ml
tests/transpiler/x/ocaml/var_assignment.ml
tests/transpiler/x/ocaml/while_loop.ml
transpiler/x/ocaml/README.md
transpiler/x/ocaml/TASKS.md
transpiler/x/ocaml/transpiler.go
transpiler/x/ocaml/transpiler_test.go",31,,False,820,v1,v1,P7e7c5dcff954e8b2
airbytehq/airbyte,62913,62917,Devin,Devin,2025-07-10T22:05:03+00:00,2025-07-10T23:21:44+00:00,2025-07-10T22:10:02+00:00,2025-07-11T01:06:58+00:00,False,False,True,True,False,False,True,True,True,False,False,True,dup,False,False,True,,0.21483375959079284,0.21483375959079284,chore(source-clickhouse-strict-encrypt): Convert to new gradle build flow (do not merge),"_PR description is being written. Please check back in a minute._ 

Devin Session: https://app.devin.ai/sessions/55fa943c7669452fbe4690003b503fac","airbyte-integrations/connectors/source-clickhouse-strict-encrypt/build.gradle
airbyte-integrations/connectors/source-clickhouse-strict-encrypt/metadata.yaml",2,chore(source-e2e-test-cloud): Convert to new gradle build flow (do not merge),"_PR description is being written. Please check back in a minute._ 

Devin Session: https://app.devin.ai/sessions/55fa943c7669452fbe4690003b503fac

> [!IMPORTANT]
> **Auto-merge enabled.**
> 
> _This PR is set to merge automatically when all requirements are met._","airbyte-integrations/connectors/source-e2e-test-cloud/build.gradle
airbyte-integrations/connectors/source-e2e-test-cloud/metadata.yaml
docs/integrations/sources/e2e-test.md",3,,False,8268,v1,v1,Pa70ea86015a44f7a
mochilang/mochi,8985,9019,OpenAI_Codex,OpenAI_Codex,2025-07-16T16:38:14+00:00,2025-07-18T11:55:47+00:00,2025-07-16T17:14:54+00:00,2025-07-16T17:15:10+00:00,False,False,True,True,False,False,False,True,False,False,True,True,dup,False,False,True,,0.21523060421880585,0.21523060421880585,Add Erlang VM golden tests,"## Summary
- handle loop-local vars when tracking mutations
- add VM golden test suite for Erlang compiler
- update tasks doc

## Testing
- `go test ./compiler/x/erlang -run TestErlangCompiler_VMValid -tags=slow` *(fails: output mismatch)*

------
https://chatgpt.com/codex/tasks/task_e_6877cffc363483209beee6ef8d5cfed0","compiler/x/erlang/TASKS.md
compiler/x/erlang/compiler.go
compiler/x/erlang/vm_golden_test.go",3,Add Python VM golden tests,"## Summary
- add `_fmt` helper to format floats and lists
- improve `print` generation using `_fmt`
- remove old Python VM compilation test helpers
- add `vm_golden_test.go` for Python compiler
- regenerate Python machine outputs
- document changes in TASKS

## Testing
- `go test ./compiler/x/python -tags=slow -run VMValid_Golden -count=1` *(fails: 18, passes: 82)*

------
https://chatgpt.com/codex/tasks/task_e_6877d8944bc48320acaec66ec212cb88","compiler/x/python/TASKS.md
compiler/x/python/compiler.go
compiler/x/python/compiler_test.go
compiler/x/python/runtime.go
compiler/x/python/vm_golden_test.go
tests/machine/x/python/append_builtin.error
tests/machine/x/python/append_builtin.out
tests/machine/x/python/append_builtin.py
tests/machine/x/python/avg_builtin.error
tests/machine/x/python/avg_builtin.out
tests/machine/x/python/avg_builtin.py
tests/machine/x/python/basic_compare.out
tests/machine/x/python/basic_compare.py
tests/machine/x/python/binary_precedence.out
tests/machine/x/python/binary_precedence.py
tests/machine/x/python/bool_chain.out
tests/machine/x/python/bool_chain.py
tests/machine/x/python/break_continue.out
tests/machine/x/python/break_continue.py
tests/machine/x/python/cast_string_to_int.out
tests/machine/x/python/cast_string_to_int.py
tests/machine/x/python/cast_struct.out
tests/machine/x/python/cast_struct.py
tests/machine/x/python/closure.out
tests/machine/x/python/closure.py
tests/machine/x/python/count_builtin.out
tests/machine/x/python/count_builtin.py
tests/machine/x/python/cross_join.out
tests/machine/x/python/cross_join.py
tests/machine/x/python/cross_join_filter.out
tests/machine/x/python/cross_join_filter.py
tests/machine/x/python/cross_join_triple.out
tests/machine/x/python/cross_join_triple.py
tests/machine/x/python/dataset_sort_take_limit.out
tests/machine/x/python/dataset_sort_take_limit.py
tests/machine/x/python/dataset_where_filter.error
tests/machine/x/python/dataset_where_filter.out
tests/machine/x/python/dataset_where_filter.py
tests/machine/x/python/exists_builtin.out
tests/machine/x/python/exists_builtin.py
tests/machine/x/python/for_list_collection.out
tests/machine/x/python/for_list_collection.py
tests/machine/x/python/for_loop.out
tests/machine/x/python/for_loop.py
tests/machine/x/python/for_map_collection.out
tests/machine/x/python/for_map_collection.py
tests/machine/x/python/fun_call.out
tests/machine/x/python/fun_call.py
tests/machine/x/python/fun_expr_in_let.out
tests/machine/x/python/fun_expr_in_let.py
tests/machine/x/python/fun_three_args.out
tests/machine/x/python/fun_three_args.py
tests/machine/x/python/go_auto.out
tests/machine/x/python/go_auto.py
tests/machine/x/python/group_by.error
tests/machine/x/python/group_by.out
tests/machine/x/python/group_by.py
tests/machine/x/python/group_by_conditional_sum.error
tests/machine/x/python/group_by_conditional_sum.out
tests/machine/x/python/group_by_conditional_sum.py
tests/machine/x/python/group_by_having.error
tests/machine/x/python/group_by_having.out
tests/machine/x/python/group_by_having.py
tests/machine/x/python/group_by_join.out
tests/machine/x/python/group_by_join.py
tests/machine/x/python/group_by_left_join.out
tests/machine/x/python/group_by_left_join.py
tests/machine/x/python/group_by_multi_join.error
tests/machine/x/python/group_by_multi_join.out
tests/machine/x/python/group_by_multi_join.py
tests/machine/x/python/group_by_multi_join_sort.error
tests/machine/x/python/group_by_multi_join_sort.out
tests/machine/x/python/group_by_multi_join_sort.py
tests/machine/x/python/group_by_sort.error
tests/machine/x/python/group_by_sort.out
tests/machine/x/python/group_by_sort.py
tests/machine/x/python/group_items_iteration.error
tests/machine/x/python/group_items_iteration.out
tests/machine/x/python/group_items_iteration.py
tests/machine/x/python/if_else.out",228,,False,6110,v1,v1,P79834c35cf2d26c3
airbytehq/airbyte,62912,62927,Devin,Devin,2025-07-10T22:04:58+00:00,2025-07-10T23:20:51+00:00,2025-07-10T22:14:13+00:00,2025-07-10T23:48:53+00:00,False,False,True,True,False,False,True,True,True,False,False,True,dup,False,False,True,,0.21483375959079284,0.21483375959079284,chore(source-clickhouse): Convert to new gradle build flow (do not merge),"_PR description is being written. Please check back in a minute._ 

Devin Session: https://app.devin.ai/sessions/55fa943c7669452fbe4690003b503fac","airbyte-integrations/connectors/source-clickhouse/build.gradle
airbyte-integrations/connectors/source-clickhouse/metadata.yaml
docs/integrations/sources/clickhouse.md",3,chore(source-tidb): Convert to new gradle build flow (do not merge),"
# chore(source-tidb): Convert to new gradle build flow (do not merge)

## Summary

This PR converts the `source-tidb` connector from the old `airbyte-java-connector` gradle plugin to the new `airbyte-bulk-connector` gradle build flow. This is part of a larger migration effort across 17 Java-based source connectors, following the pattern established in PR #60214.

**Key Changes:**
- **build.gradle**: Replaced `airbyte-java-connector` plugin with `airbyte-bulk-connector` plugin
- **build.gradle**: Updated configuration block to use `airbyteBulkConnector` instead of `airbyteJavaConnector`
- **build.gradle**: Removed `airbyteJavaConnector.addCdkDependencies()` call
- **metadata.yaml**: Updated `baseImage` from `2.0.0` to `2.0.1` with new SHA256 hash
- **metadata.yaml**: Added `connectorIPCOptions` block with dataChannel configuration

This is a mechanical conversion that maintains all existing functionality while adopting the new build system. The changes are minimal and focused solely on the build configuration.

## Review & Testing Checklist for Human

- [ ] **Verify connector builds successfully** - Run `./gradlew :airbyte-integrations:connectors:source-tidb:build` to ensure the ne","airbyte-integrations/connectors/source-tidb/build.gradle
airbyte-integrations/connectors/source-tidb/metadata.yaml
docs/integrations/sources/tidb.md",3,,False,11709,v1,v1,Pfa91c3b52f0af27b
mochilang/mochi,4166,4168,OpenAI_Codex,OpenAI_Codex,2025-06-30T11:05:55+00:00,2025-07-03T10:40:45+00:00,2025-06-30T11:14:54+00:00,2025-06-30T11:15:26+00:00,False,False,True,True,False,False,False,True,False,False,True,True,dup,False,False,True,,0.21523060421880585,0.21523060421880585,Update JOB IR golden files,"## Summary
- run `TestVM_JOB` with `-update` to capture current VM IR
- update all `tests/dataset/job/out/*.ir.out` files

## Testing
- `go test ./tests/vm -run TestVM_JOB -tags slow`

------
https://chatgpt.com/codex/tasks/task_e_68626e0843148320a68255565ba7a105","runtime/vm/liveness.go
runtime/vm/vm.go
tests/dataset/job/out/q1.ir.out
tests/dataset/job/out/q10.ir.out
tests/dataset/job/out/q11.ir.out
tests/dataset/job/out/q12.ir.out
tests/dataset/job/out/q13.ir.out
tests/dataset/job/out/q14.ir.out
tests/dataset/job/out/q15.ir.out
tests/dataset/job/out/q16.ir.out
tests/dataset/job/out/q17.ir.out
tests/dataset/job/out/q18.ir.out
tests/dataset/job/out/q19.ir.out
tests/dataset/job/out/q2.ir.out
tests/dataset/job/out/q20.ir.out
tests/dataset/job/out/q21.ir.out
tests/dataset/job/out/q22.ir.out
tests/dataset/job/out/q23.ir.out
tests/dataset/job/out/q24.ir.out
tests/dataset/job/out/q25.ir.out
tests/dataset/job/out/q26.ir.out
tests/dataset/job/out/q27.ir.out
tests/dataset/job/out/q28.ir.out
tests/dataset/job/out/q29.ir.out
tests/dataset/job/out/q3.ir.out
tests/dataset/job/out/q30.ir.out
tests/dataset/job/out/q31.ir.out
tests/dataset/job/out/q32.ir.out
tests/dataset/job/out/q33.ir.out
tests/dataset/job/out/q4.ir.out
tests/dataset/job/out/q5.ir.out
tests/dataset/job/out/q6.ir.out
tests/dataset/job/out/q7.ir.out
tests/dataset/job/out/q8.ir.out
tests/dataset/job/out/q9.ir.out
tests/dataset/tpc-h/out/q22.ir.out",36,Update IR golden files,"## Summary
- update .ir.out for some TPC-DS queries

## Testing
- `go test ./tests/vm -run TestVM_TPCDS -tags slow -update -v` *(terminated early after updating files)*

------
https://chatgpt.com/codex/tasks/task_e_68626f0f454c83209a6a47a75616ec61","tests/dataset/tpc-ds/out/q29.ir.out
tests/dataset/tpc-ds/out/q4.ir.out
tests/dataset/tpc-ds/out/q41.ir.out
tests/dataset/tpc-ds/out/q45.ir.out
tests/dataset/tpc-ds/out/q46.ir.out
tests/dataset/tpc-ds/out/q7.ir.out",6,,False,7702,v1,v1,P7b61b0bef9d2ccef
cartography-cncf/cartography,1694,1695,OpenAI_Codex,OpenAI_Codex,2025-07-17T18:13:40+00:00,2025-07-18T04:31:24+00:00,2025-07-17T18:33:32+00:00,2025-07-18T04:31:17+00:00,False,False,True,True,False,False,False,False,False,False,False,True,dup,False,False,True,,0.2157303370786517,0.2157303370786517,Refactor KMSKey ingestion to data model,"## Summary
- refactor `KMSKey` load function to use the new declarative data model
- introduce `KMSKeySchema`

## Testing
- `pre-commit run --files cartography/intel/aws/kms.py cartography/models/aws/kms/key.py`
- `pytest tests/integration/cartography/intel/aws/test_kms.py::test_load_kms_keys` *(fails: ServiceUnavailable: Couldn't connect to localhost:7687)*

------
https://chatgpt.com/codex/tasks/task_b_68787e562d74832f9bd9d697bb5ca936","cartography/intel/aws/kms.py
cartography/models/aws/kms/__init__.py
cartography/models/aws/kms/key.py",3,Refactor LoadBalancerV2 to new data model,"## Summary
- define LoadBalancerV2 and ELBV2Listener schemas
- use `load()` and `load_matchlinks()` in LoadBalancerV2 module
- add cleanup via `GraphJob`

## Testing
- `make test_lint`
- `make test_unit`
- `make test_integration` *(fails: Couldn't connect to localhost:7687)*

------
https://chatgpt.com/codex/tasks/task_b_68787b8ce1f4832f9bf854fe42ee1604","cartography/intel/aws/ec2/load_balancer_v2s.py
cartography/models/aws/ec2/loadbalancerv2.py",2,,False,8158,v1,v1,P6f93479fea880922
mochilang/mochi,2365,2367,OpenAI_Codex,OpenAI_Codex,2025-06-20T13:47:12+00:00,2025-06-20T14:08:24+00:00,2025-06-20T13:47:50+00:00,2025-06-20T13:49:04+00:00,False,False,True,False,True,False,True,True,True,False,True,False,revert,False,False,True,,1.0,1.0,Add Zig import support and revert README,"## Summary
- extend Zig compiler with basic import handling
- note more unsupported Zig features in backend README
- add test for Zig imports
- remove unsupported-features section from main README

## Testing
- `go test ./...`


------
https://chatgpt.com/codex/tasks/task_e_68555da3ba288320b49062853d9ba5a1","compile/zig/README.md
compile/zig/compiler.go
tests/compiler/zig/import_basic.mochi
tests/compiler/zig/import_basic.out
tests/compiler/zig/import_basic.zig.out
tests/compiler/zig/mylib.zig",6,Add v0.8.8 release notes,"## Summary
- add v0.8.8 release notes
- document new features in CHANGELOG

## Testing
- `go test ./... -run TestVersion -count=1`

------
https://chatgpt.com/codex/tasks/task_e_6855628c89008320a56c34d7a45124e9","CHANGELOG.md
releases/v0.8.8.md",2,,False,5240,v1,v1,Pf0a23abcc7ef7c28
