repo,pr_a,pr_b,prob,raw
Azure/azure-sdk-for-java,45797,45808,0.03,
Azure/azure-sdk-for-java,45795,45808,0.03,
Azure/azure-sdk-for-java,45590,45609,0.05,
Azure/azure-sdk-for-java,45590,45595,0.02,
Azure/azure-sdk-for-java,45801,45806,0.05,
Azure/azure-sdk-for-java,45606,45806,0.03,
Azure/azure-sdk-for-java,45801,45803,0.02,
Azure/data-api-builder,2727,2749,0.45,
Azure/data-api-builder,2724,2727,0.01,
Azure/data-api-builder,2692,2727,0.25,
Azure/data-api-builder,2734,2749,0.55,
Azure/data-api-builder,2692,2734,0.08,
Azure/data-api-builder,2692,2724,0.01,
Azure/data-api-builder,2692,2749,0.25,
Azure/data-api-builder,2727,2734,0.8,
BasedHardware/omi,2025,2026,0.98,
BasedHardware/omi,2009,2025,0.75,
BasedHardware/omi,2009,2021,0.75,
BasedHardware/omi,2021,2025,0.9,
BasedHardware/omi,2006,2009,0.8,
BasedHardware/omi,2021,2026,0.95,
BasedHardware/omi,2009,2026,0.7,
BeehiveInnovations/zen-mcp-server,83,95,0.3,
BlueWallet/BlueWallet,8007,8008,0.25,
BlueWallet/BlueWallet,8007,8010,0.2,
BlueWallet/BlueWallet,7994,7995,0.5,
BlueWallet/BlueWallet,7988,7989,0.4,
Cap-go/capgo,1040,1051,0.45,
Cap-go/capgo,1071,1074,0.65,
Cap-go/capgo,1094,1099,0.3,
Cap-go/capgo,1098,1101,0.15,
Cap-go/capgo,1069,1072,0.25,
Cap-go/capgo,1063,1066,0.75,
Cap-go/capgo,1036,1053,0.12,
Cap-go/capgo,1065,1066,0.75,
Cap-go/capgo,1053,1058,0.1,
Cap-go/capgo,1069,1077,0.3,
Cap-go/capgo,1094,1095,0.88,
Cap-go/capgo,1098,1099,0.3,
Cap-go/capgo,1067,1074,0.45,
Cap-go/capgo,1092,1098,0.2,
Cap-go/capgo,1051,1053,0.75,
Cap-go/capgo,1012,1041,0.15,
Cap-go/capgo,1093,1095,0.95,
Cap-go/capgo,1037,1051,0.9,
Cap-go/capgo,1037,1040,0.2,
Cap-go/capgo,1036,1042,0.15,
Cap-go/capgo,1092,1099,0.25,
Cap-go/capgo,1097,1100,0.15,
Cap-go/capgo,1038,1052,0.2,
Cap-go/capgo,1091,1094,0.9,
Cap-go/capgo,1072,1077,0.45,
Cap-go/capgo,1047,1054,0.2,
Cap-go/capgo,1047,1049,0.75,
Cap-go/capgo,1093,1102,0.15,
Cap-go/capgo,1093,1097,0.35,
Cap-go/capgo,1091,1102,0.15,
Cap-go/capgo,1095,1097,0.4,
Cap-go/capgo,1047,1050,0.25,
Cap-go/capgo,1067,1075,0.25,
Cap-go/capgo,1037,1050,0.95,
Cap-go/capgo,1037,1041,0.05,
Cap-go/capgo,1073,1081,0.45,
Cap-go/capgo,1037,1039,0.55,
Cap-go/capgo,1093,1101,0.7,
Cap-go/capgo,1092,1109,0.1,
Cap-go/capgo,1092,1095,0.99,
Cap-go/capgo,1092,1097,0.7,
Cap-go/capgo,1078,1079,0.99,
Cap-go/capgo,1073,1082,0.5,
Cap-go/capgo,1052,1057,0.15,
Cap-go/capgo,1037,1038,0.35,
Cap-go/capgo,1050,1053,0.4,
Cap-go/capgo,1064,1066,0.25,
Cap-go/capgo,1067,1081,0.1,
Cap-go/capgo,1041,1043,0.85,
Cap-go/capgo,1058,1061,0.3,
Cap-go/capgo,1091,1100,0.1,
Cap-go/capgo,1012,1042,0.05,
Cap-go/capgo,1067,1097,0.15,
Cap-go/capgo,1036,1039,0.5,
Cap-go/capgo,1040,1048,0.05,
Cap-go/capgo,1067,1094,0.3,
Cap-go/capgo,1092,1102,0.05,
Cap-go/capgo,1054,1059,0.05,
Cap-go/capgo,1073,1079,0.2,
Cap-go/capgo,1038,1051,0.1,
Cap-go/capgo,1069,1078,0.25,
Cap-go/capgo,1073,1077,0.35,
Cap-go/capgo,1040,1042,0.05,
Cap-go/capgo,1039,1052,0.2,
Cap-go/capgo,1051,1054,0.9,
Cap-go/capgo,1069,1074,0.3,
Cap-go/capgo,1054,1057,0.12,
Cap-go/capgo,1093,1109,0.2,
Cap-go/capgo,1093,1108,0.15,
Cap-go/capgo,1094,1098,0.08,
Cap-go/capgo,1091,1098,0.08,
Cap-go/capgo,1036,1043,0.15,
Cap-go/capgo,1036,1054,0.25,
Cap-go/capgo,1040,1041,0.15,
Cap-go/capgo,1047,1048,0.15,
Cap-go/capgo,1069,1081,0.3,
Cap-go/capgo,1067,1098,0.75,
Cap-go/capgo,1074,1078,0.2,
Cap-go/capgo,1041,1042,0.95,
Cap-go/capgo,1070,1073,0.5,
Cap-go/capgo,1092,1101,0.4,
Cap-go/capgo,1037,1047,0.35,
Cap-go/capgo,1095,1100,0.05,
Cap-go/capgo,1072,1076,0.8,
Cap-go/capgo,1053,1054,0.7,
Cap-go/capgo,1059,1060,0.2,
Cap-go/capgo,1069,1076,0.3,
Cap-go/capgo,1092,1108,0.1,
Cap-go/capgo,1074,1082,0.45,
Cap-go/capgo,1057,1060,0.2,
Cap-go/capgo,1062,1066,0.55,
Cap-go/capgo,1093,1099,0.1,
Cap-go/capgo,1047,1052,0.4,
Cap-go/capgo,1067,1092,0.25,
Cap-go/capgo,1098,1102,0.1,
Cap-go/capgo,1067,1070,0.95,
Cap-go/capgo,1062,1064,0.9,
Cap-go/capgo,1067,1108,0.2,
Cap-go/capgo,1039,1048,0.08,
Cap-go/capgo,1067,1091,0.2,
Cap-go/capgo,1095,1109,0.08,
Cap-go/capgo,1080,1081,0.85,
Cap-go/capgo,1073,1074,0.35,
Cap-go/capgo,1074,1075,0.15,
Cap-go/capgo,1063,1065,0.9,
Cap-go/capgo,1036,1050,0.15,
Cap-go/capgo,1067,1072,0.2,
Cap-go/capgo,1038,1041,0.15,
Cap-go/capgo,1075,1076,0.75,
Cap-go/capgo,1050,1052,0.92,
Cap-go/capgo,1072,1073,0.2,
Cap-go/capgo,1038,1050,0.12,
Cap-go/capgo,1036,1052,0.12,
Cap-go/capgo,1070,1072,0.15,
Cap-go/capgo,1092,1100,0.05,
Cap-go/capgo,1080,1082,0.97,
Cap-go/capgo,1098,1108,0.12,
Cap-go/capgo,1092,1094,0.85,
Cap-go/capgo,1069,1075,0.25,
Cap-go/capgo,1102,1103,0.92,
Cap-go/capgo,1040,1043,0.08,
Cap-go/capgo,1038,1053,0.07,
Cap-go/capgo,1074,1079,0.3,
Cap-go/capgo,1081,1082,0.95,
Cap-go/capgo,1058,1059,0.15,
Cap-go/capgo,1064,1065,0.75,
Cap-go/capgo,1048,1050,0.1,
Cap-go/capgo,1070,1075,0.2,
Cap-go/capgo,1098,1103,0.1,
Cap-go/capgo,1051,1058,0.12,
Cap-go/capgo,1036,1041,0.08,
Cap-go/capgo,1040,1052,0.12,
Cap-go/capgo,1050,1058,0.1,
Cap-go/capgo,1070,1078,0.15,
Cap-go/capgo,1070,1076,0.15,
Cap-go/capgo,1036,1038,1.0,
Cap-go/capgo,1040,1054,0.18,
Cap-go/capgo,1108,1109,0.45,
Cap-go/capgo,1049,1050,0.18,
Cap-go/capgo,1047,1051,0.16,
Cap-go/capgo,1092,1093,0.95,
Cap-go/capgo,1067,1082,0.1,
Cap-go/capgo,1072,1074,0.25,
Cap-go/capgo,1095,1103,0.08,
Cap-go/capgo,1040,1047,0.98,
Cap-go/capgo,1094,1108,0.08,
Cap-go/capgo,1038,1040,0.92,
Cap-go/capgo,1053,1057,0.08,
Cap-go/capgo,1093,1094,0.97,
Cap-go/capgo,1012,1038,0.78,
Cap-go/capgo,1076,1077,0.97,
Cap-go/capgo,1053,1061,0.75,
Cap-go/capgo,1038,1042,0.08,
Cap-go/capgo,1037,1043,0.15,
Cap-go/capgo,1048,1052,0.12,
Cap-go/capgo,1093,1103,0.08,
Cap-go/capgo,1073,1080,0.3,
Cap-go/capgo,1039,1041,0.1,
Cap-go/capgo,1098,1100,0.07,
Cap-go/capgo,1093,1098,0.05,
Cap-go/capgo,1100,1101,0.08,
Cap-go/capgo,1051,1052,0.9,
Cap-go/capgo,1040,1049,0.75,
Cap-go/capgo,1036,1037,0.3,
Cap-go/capgo,1095,1102,0.05,
Cap-go/capgo,1050,1057,0.12,
Cap-go/capgo,1070,1079,0.28,
Cap-go/capgo,1047,1053,0.1,
Cap-go/capgo,1012,1040,0.88,
Cap-go/capgo,1070,1081,0.3,
Cap-go/capgo,1040,1050,0.36,
Cap-go/capgo,1036,1048,0.11,
Cap-go/capgo,1039,1040,0.82,
Cap-go/capgo,1070,1074,0.15,
Cap-go/capgo,1039,1049,0.75,
Cap-go/capgo,1091,1093,0.95,
Cap-go/capgo,1067,1109,0.15,
Cap-go/capgo,1095,1098,0.1,
Cap-go/capgo,1058,1060,0.2,
Cap-go/capgo,1070,1082,0.1,
Cap-go/capgo,1036,1051,0.25,
Cap-go/capgo,1094,1109,0.15,
Cap-go/capgo,1094,1097,0.5,
Cap-go/capgo,1063,1064,0.95,
Cap-go/capgo,1091,1092,0.98,
Cap-go/capgo,1067,1080,0.05,
Cap-go/capgo,1067,1093,0.05,
Cap-go/capgo,1038,1048,0.05,
Cap-go/capgo,1051,1059,0.08,
Cap-go/capgo,1067,1069,0.25,
Cap-go/capgo,1097,1099,0.08,
Cap-go/capgo,1091,1095,0.95,
Cap-go/capgo,1069,1073,0.98,
Cap-go/capgo,1054,1058,0.18,
Cap-go/capgo,1094,1100,0.12,
Cap-go/capgo,1048,1054,0.18,
Cap-go/capgo,1067,1095,0.22,
Cap-go/capgo,1037,1054,0.88,
Cap-go/capgo,1079,1082,0.98,
Cap-go/capgo,1072,1075,0.92,
ComposioHQ/composio,1378,1411,0.45,
ComposioHQ/composio,1378,1406,0.4,
ComposioHQ/composio,1158,1164,0.12,
ComposioHQ/composio,1409,1410,0.85,
ComposioHQ/composio,1378,1408,0.85,
ComposioHQ/composio,1157,1164,0.15,
ComposioHQ/composio,1100,1163,0.35,
ComposioHQ/composio,1101,1113,0.55,
ComposioHQ/composio,1157,1163,0.15,
ComposioHQ/composio,1408,1410,0.85,
ComposioHQ/composio,1378,1410,0.8,
ComposioHQ/composio,1410,1411,0.85,
ComposioHQ/composio,1408,1411,0.8,
ComposioHQ/composio,1404,1410,0.08,
ComposioHQ/composio,1404,1411,0.1,
ComposioHQ/composio,1157,1160,0.03,
ComposioHQ/composio,1160,1163,0.25,
ComposioHQ/composio,1100,1158,0.02,
ComposioHQ/composio,1160,1164,0.2,
ComposioHQ/composio,1100,1164,0.02,
ComposioHQ/composio,1100,1160,0.02,
ComposioHQ/composio,1408,1409,0.75,
ComposioHQ/composio,1100,1113,0.15,
ComposioHQ/composio,1158,1163,0.08,
ComposioHQ/composio,1404,1409,0.05,
ComposioHQ/composio,1378,1409,0.65,
ComposioHQ/composio,1157,1158,0.05,
ComposioHQ/composio,1404,1408,0.05,
ComposioHQ/composio,1100,1157,0.05,
ComposioHQ/composio,1163,1164,0.85,
ComposioHQ/composio,1404,1406,0.05,
ComposioHQ/composio,1378,1404,0.1,
ComposioHQ/composio,1158,1160,0.05,
ComposioHQ/composio,1409,1411,0.65,
ComposioHQ/composio,1100,1154,0.25,
ComposioHQ/composio,1100,1101,0.75,
DaveSkender/Stock.Indicators,1343,1355,0.08,
DaveSkender/Stock.Indicators,1356,1358,0.96,
DaveSkender/Stock.Indicators,1343,1345,0.45,
DaveSkender/Stock.Indicators,1362,1364,0.08,
DaveSkender/Stock.Indicators,1343,1356,0.12,
DaveSkender/Stock.Indicators,1342,1345,0.55,
DaveSkender/Stock.Indicators,1342,1358,0.08,
DaveSkender/Stock.Indicators,1343,1358,0.15,
DaveSkender/Stock.Indicators,1342,1355,0.1,
DaveSkender/Stock.Indicators,1342,1343,0.05,
DaveSkender/Stock.Indicators,1342,1356,0.1,
DeepLabCut/DeepLabCut,3046,3047,0.28,
DistroAV/DistroAV,1314,1317,0.27,
DivineOmega/uxdm,42,43,0.8,
DivineOmega/uxdm,41,42,0.48,
DivineOmega/uxdm,41,43,0.5,
DivineOmega/uxdm,41,44,0.6,
DivineOmega/uxdm,41,45,0.98,
ESPresense/ESPresense-companion,1167,1190,0.25,
ESPresense/ESPresense-companion,1157,1158,0.05,
ESPresense/ESPresense-companion,1179,1190,0.15,
ESPresense/ESPresense-companion,1163,1165,0.05,
ESPresense/ESPresense-companion,1163,1169,0.3,
ESPresense/ESPresense-companion,1163,1190,0.05,
ESPresense/ESPresense-companion,1163,1164,0.05,
ESPresense/ESPresense-companion,1167,1179,0.35,
ESPresense/ESPresense-companion,1162,1163,0.05,
ESPresense/ESPresense-companion,1160,1162,0.75,
ESPresense/ESPresense-companion,1160,1164,0.75,
ESPresense/ESPresense-companion,1163,1189,0.1,
ESPresense/ESPresense-companion,1163,1167,0.2,
ESPresense/ESPresense-companion,1160,1165,0.75,
ESPresense/ESPresense-companion,1179,1189,0.05,
ESPresense/ESPresense-companion,1167,1169,0.35,
ESPresense/ESPresense-companion,1160,1163,0.55,
ESPresense/ESPresense-companion,1155,1156,0.05,
ESPresense/ESPresense-companion,1167,1189,0.1,
ESPresense/ESPresense-companion,1163,1179,0.05,
ElectNewt/Distribt,47,48,0.95,
ElectNewt/Distribt,44,48,0.15,
ElectNewt/Distribt,44,47,0.15,
FarmBot/Farmbot-Web-App,2491,2492,0.3,
Helicone/helicone,3873,3890,0.2,
Helicone/helicone,4046,4099,0.1,
Helicone/helicone,3875,3885,0.25,
Helicone/helicone,3875,4046,0.15,
Helicone/helicone,3875,3882,0.35,
Helicone/helicone,3882,3890,0.3,
Helicone/helicone,3873,3882,0.08,
Helicone/helicone,3875,3890,0.35,
Helicone/helicone,3885,3890,0.25,
Helicone/helicone,3873,3885,0.08,
Helicone/helicone,3873,3875,0.12,
Helicone/helicone,3882,3885,0.2,
JuliaLang/Pkg.jl,4299,4306,0.3,
JuliaLang/Pkg.jl,4299,4304,0.2,
Kanaries/pygwalker,701,706,0.4,
Kanaries/pygwalker,700,706,0.85,
Kanaries/pygwalker,700,701,0.3,
Kiln-AI/Kiln,355,361,0.15,
Kiln-AI/Kiln,353,361,0.08,
Kiln-AI/Kiln,365,378,0.08,
Kiln-AI/Kiln,361,365,0.05,
Kiln-AI/Kiln,376,377,0.18,
Kiln-AI/Kiln,350,351,0.45,
Kiln-AI/Kiln,358,365,0.12,
Kiln-AI/Kiln,377,378,0.18,
Kiln-AI/Kiln,365,372,0.15,
Kiln-AI/Kiln,353,358,0.1,
Kiln-AI/Kiln,353,355,0.1,
Kiln-AI/Kiln,371,372,0.55,
Kiln-AI/Kiln,353,354,0.15,
Kiln-AI/Kiln,352,353,0.05,
Kiln-AI/Kiln,352,355,0.15,
Kiln-AI/Kiln,365,376,0.05,
Kiln-AI/Kiln,355,358,0.1,
Kiln-AI/Kiln,354,355,0.1,
Kiln-AI/Kiln,365,377,0.35,
Kiln-AI/Kiln,352,354,0.05,
Kiln-AI/Kiln,347,348,0.55,
Kiln-AI/Kiln,365,371,0.1,
Kiln-AI/Kiln,358,361,0.3,
KittyCAD/modeling-app,7035,7036,0.1,
KittyCAD/modeling-app,7036,7038,0.15,
KittyCAD/modeling-app,7035,7037,0.1,
KittyCAD/modeling-app,7037,7038,0.15,
KittyCAD/modeling-app,7034,7036,0.1,
KittyCAD/modeling-app,7034,7038,0.15,
KittyCAD/modeling-app,7035,7038,0.08,
KittyCAD/modeling-app,7034,7037,0.2,
KittyCAD/modeling-app,7034,7035,0.08,
KittyCAD/modeling-app,7036,7037,0.12,
KomodoPlatform/komodo-wallet,2879,2925,0.5,
KomodoPlatform/komodo-wallet,2807,2879,0.25,
KomodoPlatform/komodo-wallet,2811,2835,0.65,
KomodoPlatform/komodo-wallet,2696,2872,0.18,
KomodoPlatform/komodo-wallet,2642,2685,0.23,
KomodoPlatform/komodo-wallet,2647,2893,0.2,
KomodoPlatform/komodo-wallet,2845,2859,0.25,
KomodoPlatform/komodo-wallet,2792,2952,0.35,
KomodoPlatform/komodo-wallet,2809,2854,0.4,
KomodoPlatform/komodo-wallet,2933,3017,0.15,
KomodoPlatform/komodo-wallet,2639,2872,0.2,
KomodoPlatform/komodo-wallet,2790,2824,0.5,
KomodoPlatform/komodo-wallet,2647,2837,0.35,
KomodoPlatform/komodo-wallet,2845,2868,0.25,
KomodoPlatform/komodo-wallet,2878,2917,0.5,
KomodoPlatform/komodo-wallet,2704,2866,0.1,
KomodoPlatform/komodo-wallet,2662,3021,0.4,
KomodoPlatform/komodo-wallet,2892,2904,0.1,
KomodoPlatform/komodo-wallet,2820,2821,0.15,
KomodoPlatform/komodo-wallet,2709,2838,0.05,
KomodoPlatform/komodo-wallet,2841,2900,0.35,
KomodoPlatform/komodo-wallet,2867,2874,0.15,
KomodoPlatform/komodo-wallet,2662,2992,0.25,
KomodoPlatform/komodo-wallet,2704,2739,0.75,
KomodoPlatform/komodo-wallet,2662,2677,0.3,
KomodoPlatform/komodo-wallet,2704,2900,0.05,
KomodoPlatform/komodo-wallet,2647,2855,0.12,
KomodoPlatform/komodo-wallet,2758,2813,0.38,
KomodoPlatform/komodo-wallet,2892,2900,0.05,
KomodoPlatform/komodo-wallet,2696,2732,0.1,
KomodoPlatform/komodo-wallet,2696,3021,0.05,
KomodoPlatform/komodo-wallet,2806,2807,0.1,
KomodoPlatform/komodo-wallet,2841,2854,0.82,
KomodoPlatform/komodo-wallet,2639,2811,0.35,
KomodoPlatform/komodo-wallet,2806,3021,0.45,
KomodoPlatform/komodo-wallet,2967,2978,0.15,
KomodoPlatform/komodo-wallet,2675,2709,0.35,
KomodoPlatform/komodo-wallet,2806,3012,0.3,
KomodoPlatform/komodo-wallet,2648,2811,0.2,
KomodoPlatform/komodo-wallet,2807,2812,0.08,
KomodoPlatform/komodo-wallet,2704,2949,0.22,
KomodoPlatform/komodo-wallet,2675,2821,0.42,
KomodoPlatform/komodo-wallet,2787,2789,0.35,
KomodoPlatform/komodo-wallet,2639,2807,0.28,
KomodoPlatform/komodo-wallet,2843,2879,0.28,
KomodoPlatform/komodo-wallet,2642,2815,0.08,
KomodoPlatform/komodo-wallet,2806,2856,0.22,
KomodoPlatform/komodo-wallet,2841,2895,0.08,
KomodoPlatform/komodo-wallet,2675,2677,0.12,
KomodoPlatform/komodo-wallet,2639,2653,0.15,
KomodoPlatform/komodo-wallet,2704,2931,0.03,
KomodoPlatform/komodo-wallet,2655,2665,0.12,
KomodoPlatform/komodo-wallet,2647,2709,0.15,
KomodoPlatform/komodo-wallet,2758,2819,0.05,
KomodoPlatform/komodo-wallet,2647,2864,0.2,
KomodoPlatform/komodo-wallet,2675,2835,0.15,
KomodoPlatform/komodo-wallet,2696,3012,0.3,
KomodoPlatform/komodo-wallet,2946,2955,0.25,
KomodoPlatform/komodo-wallet,2696,2811,0.15,
KomodoPlatform/komodo-wallet,2806,2901,0.35,
KomodoPlatform/komodo-wallet,2892,2893,0.12,
KomodoPlatform/komodo-wallet,2662,2810,0.7,
KomodoPlatform/komodo-wallet,2841,3011,0.6,
KomodoPlatform/komodo-wallet,2879,2888,0.6,
KomodoPlatform/komodo-wallet,2647,2779,0.3,
KomodoPlatform/komodo-wallet,2810,2812,0.25,
KomodoPlatform/komodo-wallet,2642,2907,0.2,
KomodoPlatform/komodo-wallet,2841,2878,0.5,
KomodoPlatform/komodo-wallet,2648,3011,0.4,
KomodoPlatform/komodo-wallet,2868,2878,0.3,
KomodoPlatform/komodo-wallet,2642,2952,0.15,
KomodoPlatform/komodo-wallet,2879,2947,0.5,
KomodoPlatform/komodo-wallet,2647,2858,0.35,
KomodoPlatform/komodo-wallet,2639,2841,0.4,
KomodoPlatform/komodo-wallet,2642,2819,0.2,
KomodoPlatform/komodo-wallet,2845,2878,0.08,
KomodoPlatform/komodo-wallet,2878,2889,0.18,
KomodoPlatform/komodo-wallet,2675,2925,0.25,
KomodoPlatform/komodo-wallet,2709,2826,0.08,
KomodoPlatform/komodo-wallet,2732,2735,0.12,
KomodoPlatform/komodo-wallet,2835,2838,0.22,
KomodoPlatform/komodo-wallet,2647,2809,0.08,
KomodoPlatform/komodo-wallet,2709,2839,0.18,
KomodoPlatform/komodo-wallet,2810,2811,0.18,
KomodoPlatform/komodo-wallet,2696,2870,0.08,
KomodoPlatform/komodo-wallet,2878,2979,0.1,
KomodoPlatform/komodo-wallet,2655,2669,0.05,
KomodoPlatform/komodo-wallet,2647,2734,0.1,
KomodoPlatform/komodo-wallet,2750,2864,0.05,
KomodoPlatform/komodo-wallet,2648,2708,0.1,
KomodoPlatform/komodo-wallet,2810,2823,0.1,
KomodoPlatform/komodo-wallet,2647,2812,0.12,
KomodoPlatform/komodo-wallet,2806,2968,0.15,
KomodoPlatform/komodo-wallet,2704,2813,0.1,
